DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	M12	M18	M19	SRR1646483	SRR837826
210	14886	48264	29633	13561	124575
211	15947	48743	34336	13640	132943
212	16266	49553	34336	13922	136389
213	16311	51069	34336	15038	141764
214	16323	51644	35090	15038	151913
215	17198	54970	35242	15038	155918
216	17198	55167	35242	15356	155918
217	17898	55521	35659	18302	156298
218	18028	55921	36977	18843	156298
219	18501	56278	39436	20337	156298
220	19012	56634	44205	20856	156488
221	19149	57453	44877	22554	158905
222	19155	58462	46012	23815	159485
223	19471	58860	46179	23895	159617
224	20792	58860	46767	24776	160003
225	21094	58860	49244	24801	160055
226	21228	59078	49244	25776	161716
227	21467	61289	52346	26123	162649
228	22721	61289	52346	26793	162709
229	24072	61289	53415	26793	195627
230	24072	63991	56646	26793	196650
231	24989	64093	56763	26793	203261
232	25360	64377	56763	31433	205742
233	25949	66802	56763	31492	218410
234	25949	66919	57186	31930	227141
235	27426	69156	57186	32322	234938
236	28174	72985	58201	39046	242369
237	28174	73435	59814	40382	247557
238	28346	73745	65537	42462	247600
239	28351	76731	65537	43533	
240	28615	76731	65537	44173	
241	29174	76731	65578	44173	
242	29174	76731	66079	54279	
243	29644	77481	66749	57092	
244	29770	79251	66749	62159	
245	30085	79332	66749	62376	
246	30492	80082	66749	65562	
247	31324	86216	67706	75012	
248	31862	86216	70148	78104	
249	31862	86720	70459	80482	
250	31862	91237	70459	88329	
251	32207	91237	73876	92714	
252	36561	93933	73876	98843	
253	42006	95481	73998	99877	
254	43125	95481	74070	99877	
255	43125	95922	80458	120254	
256	43688	96376	80578	120547	
257	44276	101731	80578	121343	
258	46465	102581	91678	126725	
259	47636	103772	101598	150981	
260	47636	105222	101598	150981	
261	47636	105222	103610	150981	
262	47798	110079	107110	178352	
263	47798	114062	107482	189963	
264	49208	115050	110718	230030	
265	51332	126625	110868	240405	
266	53986	126625	112472	245642	
267	55385	127054	112472		
268	55818	127054	113558		
269	55818	128200	114770		
270	56323	128200	115821		
271	57435	131635	116397		
272	58280	139188	116840		
273	60695	144591	116840		
274	61219	162326	117714		
275	63540	166132	119810		
276	64135	186791	119810		
277	65615	208208	120129		
278	70749	221033	126703		
279	73371	223125	129662		
280	74625	223125	133946		
281	74743	223125	141517		
282	74743	225880	142684		
283	76020	232724	143639		
284	83159	233692	149130		
285	84208	238274	150878		
286	84251		159292		
287	85586		172585		
288	85586		175963		
289	91908		186912		
290	91908		195068		
291	91908		195438		
292	101933		211481		
293	104714		213364		
294	105242		217363		
295	105242		221313		
296	105242		224845		
297	107377		233315		
298	118136		234202		
299	126361		240931		
300	126754				
301	126948				
302	130825				
303	132708				
304	137206				
305	139804				
306	142730				
307	143498				
308	146996				
309	150464				
310	150464				
311	163981				
312	169622				
313	170122				
314	170657				
315	174975				
316	181913				
317	182449				
318	182675				
319	182675				
320	198574				
321	231257				
322	232766				
323	232766				
324	232766				
