miRNA,mLi_1,mLi_2,mLi_3,mLu_1,mLu_2,mLu_3,nCR_1,nCR_2,nCR_3,nLi_1,nLi_2,nLi_3,nLu_1,nLu_2,nLu_3,pCRC_1,pCRC_2,pCRC_3
Hsa-Mir-24-P1_3p/24-P2_3p,1427.046,506.4544,946.9116,1277.5931,1097.7128,1768.3832,1280.071,1336.4335,1177.3624,756.0557,444.2313,375.7549,1469.8794,2469.1238,1698.8885,901.494,1634.7355,814.73
Hsa-Mir-24-P1_5p*,118.6459,81.0896,38.8581,8.7208,28.0865,41.3877,22.6784,14.7347,13.7818,9.619,17.641,5.4065,23.9005,41.1924,39.509,50.3159,34.4155,97.6788
Hsa-Mir-24-P2_5p*,8.2393,7.1131,0.0,0.0,0.0,7.525,12.5991,4.4204,3.9377,3.8476,12.8298,0.0,0.0,7.2693,3.7628,0.0,0.0,17.7598
Hsa-Mir-2467_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-2467_5p*,4.9436,2.8452,0.0,10.901,18.7243,5.6438,7.5595,0.0,0.0,0.0,3.2074,0.0,0.0,4.8462,3.7628,0.0,0.0,4.4399
Hsa-Mir-26-P1_3p*,0.0,4.2679,0.0,0.0,9.3622,0.0,0.0,4.4204,0.0,5.7714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-26-P1_5p/26-P2_5p,63447.519,81039.825,43486.3526,91480.8961,42707.8165,68494.7485,86120.0495,92174.1283,78499.3552,67475.5629,59899.0617,55922.5999,99433.957,131217.3338,111009.0984,41611.2842,40096.1913,36960.3246
Hsa-Mir-26-P2_3p*,21.4222,21.3394,8.1807,21.8019,18.7243,11.2876,7.5595,4.4204,9.8442,15.3904,24.0558,0.0,0.0,9.6923,3.7628,20.965,12.9058,6.6599
Hsa-Mir-26-P3_3p*,19.7743,45.524,20.4517,8.7208,32.7675,33.8627,35.2775,33.8897,3.9377,61.5618,78.5824,43.2524,23.9005,19.3847,33.8649,25.158,19.3587,15.5398
Hsa-Mir-26-P3_5p,6159.6973,4862.5318,2159.6947,5374.1756,6623.7256,6691.6372,6297.042,4695.9356,4947.6783,8120.3841,10154.7753,7728.6563,6457.1126,6428.4451,11696.5556,4641.6457,3878.195,2841.565
