miRNA,mLi_1,mLi_2,mLi_3,mLu_1,mLu_2,mLu_3,nCR_1,nCR_2,nCR_3,nLi_1,nLi_2,nLi_3,nLu_1,nLu_2,nLu_3,pCRC_1,pCRC_2,pCRC_3
Hsa-Mir-10-P2b_5p,156.0,180.0,70.0,47.0,144.0,137.0,38.0,62.0,118.0,710.0,600.0,385.0,133.0,277.0,293.0,7.0,49.0,37.0
Hsa-Mir-10-P2c_3p*,37.0,7.0,9.0,10.0,5.0,11.0,9.0,7.0,11.0,6.0,0.0,0.0,0.0,41.0,26.0,4.0,11.0,6.0
Hsa-Mir-10-P2c_5p,2126.0,546.0,1080.0,550.0,453.0,1253.0,913.0,927.0,1309.0,1143.0,412.0,660.0,2008.0,4627.0,1865.0,355.0,776.0,504.0
Hsa-Mir-10-P3a_3p*,11.0,6.0,7.0,10.0,0.0,6.0,0.0,6.0,0.0,6.0,4.0,0.0,16.0,14.0,21.0,12.0,7.0,8.0
Hsa-Mir-10-P3a_5p,2793.0,1960.0,2308.0,666.0,446.0,933.0,1972.0,1850.0,1784.0,3867.0,1447.0,2198.0,3931.0,6764.0,2729.0,614.0,1146.0,944.0
Hsa-Mir-10-P3b_3p*,50.0,27.0,31.0,15.0,11.0,33.0,8.0,13.0,22.0,20.0,9.0,14.0,28.0,30.0,21.0,6.0,16.0,22.0
Hsa-Mir-10-P3b_5p/10-P3c_5p,825.0,1194.0,877.0,252.0,149.0,360.0,544.0,602.0,878.0,3392.0,2153.0,2129.0,741.0,1407.0,532.0,133.0,321.0,453.0
Hsa-Mir-10-P3c_3p*,63.0,144.0,57.0,24.0,79.0,45.0,22.0,35.0,36.0,465.0,500.0,282.0,113.0,135.0,96.0,2.0,28.0,31.0
Hsa-Mir-101-P1-v1_3p/101-P1-v2_3p/101-P2-v1_3p/101-P2-v2_3p,2902.0,3943.0,467.0,2088.0,1829.0,3698.0,907.0,1195.0,1188.0,3566.0,9318.0,1771.0,1029.0,1391.0,7489.0,677.0,852.0,1155.0
Hsa-Mir-101-P1-v1_5p*/101-P1-v2_5p*,15.0,11.0,0.0,5.0,2.0,3.0,0.0,0.0,2.0,8.0,14.0,0.0,3.0,0.0,14.0,3.0,0.0,0.0
Hsa-Mir-101-P2-v1_5p*/101-P2-v2_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-103-P1_3p/103-P2_3p/103-P3_3p,2045.0,1523.0,2461.0,2113.0,1318.0,2955.0,1559.0,2096.0,898.0,2534.0,1863.0,1409.0,780.0,1696.0,2540.0,910.0,2350.0,1232.0
Hsa-Mir-103-P1_5p*/103-P2_5p*,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-103-P3_5p*,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Hsa-Mir-105-P1_3p*/105-P2_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-105-P1_5p/105-P2_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1179_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1179_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Hsa-Mir-1180_3p,9.0,8.0,10.0,0.0,6.0,3.0,11.0,8.0,10.0,10.0,0.0,7.0,15.0,12.0,7.0,3.0,14.0,6.0
Hsa-Mir-1180_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-122_3p*,54.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.0,1610.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-122_5p,1413.0,1840.0,644.0,0.0,0.0,0.0,99.0,75.0,48.0,80458.0,89898.0,88632.0,0.0,0.0,0.0,60.0,103.0,69.0
Hsa-Mir-124-P1-v1_3p/124-P1-v2_3p/124-P2-v1_3p/124-P2-v2_3p/124-P3-v1_3p/124-P3-v2_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-124-P1-v1_5p*/124-P1-v2_5p*/124-P2-v1_5p*/124-P2-v2_5p*/124-P3-v1_5p*/124-P3-v2_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1245_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1245_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1247_3p*,6.0,13.0,29.0,8.0,6.0,4.0,3.0,13.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,3.0
Hsa-Mir-1247_5p,44.0,395.0,377.0,55.0,0.0,0.0,31.0,14.0,7.0,43.0,0.0,0.0,16.0,12.0,0.0,15.0,0.0,12.0
Hsa-Mir-1249_3p,0.0,0.0,6.0,0.0,0.0,0.0,5.0,5.0,0.0,15.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,4.0
Hsa-Mir-1249_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1251_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1251_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1252_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1252_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1256_3p*,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1256_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-126-v1_3p/126-v2_3p/126-v3_3p,1520.0,768.0,358.0,1499.0,1115.0,3963.0,552.0,621.0,489.0,1320.0,1680.0,832.0,1933.0,3261.0,7477.0,404.0,706.0,856.0
Hsa-Mir-126-v1_5p/126-v2_5p*/126-v3_5p*,5448.0,2359.0,540.0,3808.0,3589.0,9224.0,1002.0,1339.0,1242.0,3677.0,6041.0,1325.0,4734.0,6991.0,19384.0,1076.0,1182.0,2520.0
Hsa-Mir-1266_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1266_5p,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
