aae	yellow_fever_mosquito	
aca	green_anole_lizard	
ami	american_alligator	
asu	large_roundworm	
bfl	florida_lancelet	
bge	cockroach	
bta	cow	
cbr	roundworm2	
cel	roundworm1	
cfa	dog	
cgi	pacific_oyster	
cin	sea_squirt	
cli	rock_pigeon	
cpi	western_painted_turtle	
cpo	guinea_pig	
cte	polychaete_worm	
dan	fruit_fly2	
dme	fruit_fly1	
dmo	fruit_fly3	
dno	nine-banded_armadillo	
dpu	common_water_flea	
dre	zebrafish	
efe	common_brandling_worm	
ete	lesser_hedgehog_tenrec	
gga	chicken	
hme	longwing_butterfly	
hsa	homo_sapiens	
isc	deer_tick	
lan	lingula	
lgi	owl_limpet	
mdo	gray_short-tailed_opossum	
mml	rhesus_monkey	
mmu	mus_musculus	
oan	platypus	
ocu	rabbit	
pfl	ptychodera	
pmi	bat_starfish	
rno	norway_rat	
sha	tasmanian_devil	
sko	saccoglossus	
spu	purple_sea_urchin	
sto	cloudy_catshark	
tca	red_flour_beetle	
tgu	zebra_finch	
xtr	tropical_clawed_frog	
